char,sourceFile,motion,frame,manifestBodyBounds_w,manifestBodyBounds_h,manifestVisualBounds_w,manifestVisualBounds_h,manifestFootAnchor_x,manifestFootAnchor_y,manifestOffset_x,manifestOffset_y,manifestBattleScale,myAlphaBBox_w,myAlphaBBox_h,myAlphaBBox_footY,myAlphaBBox_centerX,manifestVsAlpha_heightDeltaPx,automatedFaceTemplateMatchScale_UNRELIABLE,automatedMatchConfidence_UNRELIABLE,visualJudgement,causeCandidate,comment
bullet,assets/art/runtime/bullet/p1/legacy_crouch/crouch.png,pose:crouch,crouch,405,222,428,222,218.5,223.762,-218.5,-223.762,0.5,429,222,223,215.0,0,0.2826086956521739,0.7707679271697998,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/legacy_crouch_atk/crouch_atk.png,pose:crouch_atk,crouch_atk,356,226,437,226,197,227.767,-197,-227.767,0.5,437,226,227,220.0,0,0.34782608695652173,0.7784034013748169,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/downset/down.png,pose:down,down,475,120,501,120,247.5,121.759,-247.5,-121.759,0.5,502,120,121,251.5,0,0.25,0.6235758662223816,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/common_basic/flinch.png,pose:flinch,flinch,359,315,407,341,210.5,409.082,-210.5,-409.082,0.5,407,341,342,205.0,0,0.7391304347826086,0.8189663290977478,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/downset/getup.png,pose:getup,getup,381,226,417,226,208.5,234.466,-208.5,-234.466,0.5,417,226,227,210.0,0,0.25,0.6969628930091858,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/legacy_grabbed/grabbed.png,pose:grabbed,grabbed,181,393,221,393,100.5,392.768,-100.5,-392.768,0.5,221,393,392,112.0,0,0.34782608695652173,0.7694537043571472,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/common_basic/guard.png,pose:guard,guard,359,314,385,314,188.5,320.234,-188.5,-320.234,0.5,385,314,315,192.0,0,0.7717391304347826,0.7824438214302063,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/common_basic/idle.png,pose:idle,idle,338,355,393,355,208,356.766,-208,-356.766,0.5,393,355,356,198.0,0,1.0652173913043477,0.8619707822799683,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/downset/ko.png,pose:ko,ko,479,155,490,155,250.5,171.69,-250.5,-171.69,0.5,492,155,156,246.5,0,0.31521739130434784,0.5722746253013611,OK,N/A (no anomaly found on visual review),
bullet,assets/art/runtime/bullet/p1/legacy_lunge/lunge.png,pose:lunge,lunge,428,260,454,260,236,261.763,-236,-261.763,0.5,455,260,261,228.0,0,0.25,0.7837872505187988,OK,N/A (no anomaly found on visual review),
