char,motion,faceWidthPx,faceHeightPx,masterFaceWidthPx,masterFaceHeightPx,widthRatioToMaster,heightRatioToMaster
moguzo,Idle,160,105,570,300,0.2807,0.35
moguzo,Guard,165,110,570,300,0.2895,0.3667
moguzo,Flinch,190,100,570,300,0.3333,0.3333
moguzo,Crouch,105,80,570,300,0.1842,0.2667
moguzo,CrouchAttack,165,75,570,300,0.2895,0.25
moguzo,LOW,165,70,570,300,0.2895,0.2333
moguzo,MID,175,70,570,300,0.307,0.2333
moguzo,HIGH,145,95,570,300,0.2544,0.3167
moguzo,Sway,125,100,570,300,0.2193,0.3333
moguzo,Lunge,135,90,570,300,0.2368,0.3
moguzo,Grab,150,100,570,300,0.2632,0.3333
moguzo,7Command,130,75,570,300,0.2281,0.25
pisuke,Idle,185,105,570,290,0.3246,0.3621
pisuke,Guard,125,90,570,290,0.2193,0.3103
pisuke,Flinch,140,90,570,290,0.2456,0.3103
pisuke,Crouch,120,75,570,290,0.2105,0.2586
pisuke,CrouchAttack,170,65,570,290,0.2982,0.2241
pisuke,LOW,160,65,570,290,0.2807,0.2241
pisuke,MID,170,60,570,290,0.2982,0.2069
pisuke,HIGH,140,100,570,290,0.2456,0.3448
pisuke,Sway,140,80,570,290,0.2456,0.2759
pisuke,Lunge,130,75,570,290,0.2281,0.2586
pisuke,Grab,124,75,570,290,0.2175,0.2586
pisuke,7Command,145,85,570,290,0.2544,0.2931
godan,Idle,200,180,600,320,0.3333,0.5625
godan,Guard,210,140,600,320,0.35,0.4375
godan,Flinch,180,170,600,320,0.3,0.5312
godan,Crouch,142,180,600,320,0.2367,0.5625
godan,CrouchAttack,190,175,600,320,0.3167,0.5469
godan,LOW,195,130,600,320,0.325,0.4062
godan,MID,170,160,600,320,0.2833,0.5
godan,HIGH,170,160,600,320,0.2833,0.5
godan,Sway,190,150,600,320,0.3167,0.4688
godan,Lunge,180,150,600,320,0.3,0.4688
godan,Grab,180,150,600,320,0.3,0.4688
godan,7Command,190,150,600,320,0.3167,0.4688
hakuma,Idle,155,90,800,420,0.1938,0.2143
hakuma,Guard,135,105,800,420,0.1688,0.25
hakuma,Flinch,140,90,800,420,0.175,0.2143
hakuma,Crouch,120,80,800,420,0.15,0.1905
hakuma,CrouchAttack,140,90,800,420,0.175,0.2143
hakuma,LOW,170,90,800,420,0.2125,0.2143
hakuma,MID,130,95,800,420,0.1625,0.2262
hakuma,HIGH,150,110,800,420,0.1875,0.2619
hakuma,Sway,120,90,800,420,0.15,0.2143
hakuma,Lunge,145,90,800,420,0.1812,0.2143
hakuma,Grab,140,90,800,420,0.175,0.2143
hakuma,7Command,116,55,800,420,0.145,0.131
chirka,Idle,160,110,720,390,0.2222,0.2821
chirka,Guard,104,100,720,390,0.1444,0.2564
chirka,Flinch,110,110,720,390,0.1528,0.2821
chirka,Crouch,125,90,720,390,0.1736,0.2308
chirka,CrouchAttack,155,110,720,390,0.2153,0.2821
chirka,LOW,156,110,720,390,0.2167,0.2821
chirka,MID,150,110,720,390,0.2083,0.2821
chirka,HIGH,145,110,720,390,0.2014,0.2821
chirka,Sway,145,100,720,390,0.2014,0.2564
chirka,Lunge,125,100,720,390,0.1736,0.2564
chirka,Grab,130,90,720,390,0.1806,0.2308
chirka,7Command,125,95,720,390,0.1736,0.2436
takimaru,Idle,160,100,590,330,0.2712,0.303
takimaru,Guard,120,100,590,330,0.2034,0.303
takimaru,Flinch,140,100,590,330,0.2373,0.303
takimaru,Crouch,135,100,590,330,0.2288,0.303
takimaru,CrouchAttack,140,105,590,330,0.2373,0.3182
takimaru,LOW,155,105,590,330,0.2627,0.3182
takimaru,MID,160,100,590,330,0.2712,0.303
takimaru,HIGH,150,95,590,330,0.2542,0.2879
takimaru,Sway,135,100,590,330,0.2288,0.303
takimaru,Lunge,137,95,590,330,0.2322,0.2879
takimaru,Grab,130,95,590,330,0.2203,0.2879
takimaru,7Command,135,115,590,330,0.2288,0.3485
yomikage,Idle,160,100,690,380,0.2319,0.2632
yomikage,Guard,135,100,690,380,0.1957,0.2632
yomikage,Flinch,120,100,690,380,0.1739,0.2632
yomikage,Crouch,120,90,690,380,0.1739,0.2368
yomikage,CrouchAttack,155,105,690,380,0.2246,0.2763
yomikage,LOW,160,105,690,380,0.2319,0.2763
yomikage,MID,150,95,690,380,0.2174,0.25
yomikage,HIGH,140,115,690,380,0.2029,0.3026
yomikage,Sway,120,100,690,380,0.1739,0.2632
yomikage,Lunge,107,95,690,380,0.1551,0.25
yomikage,Grab,135,105,690,380,0.1957,0.2763
yomikage,7Command,150,105,690,380,0.2174,0.2763
bullet,Idle,155,110,770,490,0.2013,0.2245
bullet,Guard,150,105,770,490,0.1948,0.2143
bullet,Flinch,150,110,770,490,0.1948,0.2245
bullet,Crouch,132,110,770,490,0.1714,0.2245
bullet,CrouchAttack,150,110,770,490,0.1948,0.2245
bullet,LOW,141,90,770,490,0.1831,0.1837
bullet,MID,155,95,770,490,0.2013,0.1939
bullet,HIGH,160,110,770,490,0.2078,0.2245
bullet,Sway,165,105,770,490,0.2143,0.2143
bullet,Lunge,156,105,770,490,0.2026,0.2143
bullet,Grab,155,105,770,490,0.2013,0.2143
bullet,7Command,91,75,770,490,0.1182,0.1531
dark_moguzo,Idle,160,105,570,300,0.2807,0.35
dark_moguzo,Guard,165,110,570,300,0.2895,0.3667
dark_moguzo,Flinch,190,100,570,300,0.3333,0.3333
dark_moguzo,Crouch,105,80,570,300,0.1842,0.2667
dark_moguzo,CrouchAttack,165,75,570,300,0.2895,0.25
dark_moguzo,LOW,165,70,570,300,0.2895,0.2333
dark_moguzo,MID,175,70,570,300,0.307,0.2333
dark_moguzo,HIGH,145,95,570,300,0.2544,0.3167
dark_moguzo,Sway,125,100,570,300,0.2193,0.3333
dark_moguzo,Lunge,135,90,570,300,0.2368,0.3
dark_moguzo,Grab,150,100,570,300,0.2632,0.3333
dark_moguzo,7Command,135,75,570,300,0.2368,0.25
