charId,poseId,detected,candCount,headSize,reference,referenceSource,scale,note
moguzo,atk_high,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,atk_low,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,atk_mid,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,cmd1,true,3,164.62,131.42,median(fallback: idle unreliable),0.8500,クランプ前0.798
moguzo,cmd2,true,3,98.23,131.42,median(fallback: idle unreliable),1.2000,クランプ前1.338
moguzo,cmd3,true,2,119.90,131.42,median(fallback: idle unreliable),1.0961,
moguzo,crouch,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,crouch_atk,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,down,false,0,,131.42,median(fallback: idle unreliable),1.0000,検出不能・現状維持
moguzo,getup,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,grab_lift,true,2,124.62,131.42,median(fallback: idle unreliable),1.0546,
moguzo,grab_reach,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,grabbed,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,guard,false,0,,131.42,median(fallback: idle unreliable),1.0000,検出不能・現状維持
moguzo,hurt,false,0,,131.42,median(fallback: idle unreliable),1.0000,検出不能・現状維持
moguzo,idle,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,ko,false,0,,131.42,median(fallback: idle unreliable),1.0000,検出不能・現状維持
moguzo,lunge,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,mikiri,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,roar,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,roar_charge,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,sway,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,tele_high,true,2,138.22,131.42,median(fallback: idle unreliable),0.9508,
moguzo,tele_low,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,tele_mid,true,2,140.43,131.42,median(fallback: idle unreliable),0.9359,
moguzo,ult_charge,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
moguzo,win,true,1,,131.42,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
pisuke,atk_high,true,1,,129.90,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
pisuke,atk_low,true,1,,129.90,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
pisuke,atk_mid,true,1,,129.90,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
pisuke,cmd1,true,1,,129.90,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
pisuke,cmd2,true,2,91.96,129.90,median(fallback: idle unreliable),1.2000,クランプ前1.413
pisuke,cmd3,true,5,161.20,129.90,median(fallback: idle unreliable),0.8500,クランプ前0.806
pisuke,crouch,true,1,,129.90,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
pisuke,crouch_atk,true,2,129.61,129.90,median(fallback: idle unreliable),1.0023,
pisuke,down,false,0,,129.90,median(fallback: idle unreliable),1.0000,検出不能・現状維持
pisuke,getup,true,2,141.38,129.90,median(fallback: idle unreliable),0.9188,
pisuke,grab_lift,true,5,114.99,129.90,median(fallback: idle unreliable),1.1297,
pisuke,grab_reach,true,5,127.36,129.90,median(fallback: idle unreliable),1.0199,
pisuke,grabbed,true,1,,129.90,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
pisuke,guard,false,0,,129.90,median(fallback: idle unreliable),1.0000,検出不能・現状維持
pisuke,hurt,true,2,58.16,129.90,median(fallback: idle unreliable),1.2000,クランプ前2.234
pisuke,idle,true,1,,129.90,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
pisuke,ko,false,0,,129.90,median(fallback: idle unreliable),1.0000,検出不能・現状維持
pisuke,lunge,true,2,134.56,129.90,median(fallback: idle unreliable),0.9654,
pisuke,mikiri,true,2,128.42,129.90,median(fallback: idle unreliable),1.0116,
pisuke,roar,true,2,134.13,129.90,median(fallback: idle unreliable),0.9685,
pisuke,roar_charge,true,1,,129.90,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
pisuke,sway,true,2,152.75,129.90,median(fallback: idle unreliable),0.8504,
pisuke,tele_high,true,1,,129.90,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
pisuke,tele_low,true,2,130.20,129.90,median(fallback: idle unreliable),0.9977,
pisuke,tele_mid,true,1,,129.90,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
pisuke,ult_charge,true,1,,129.90,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
pisuke,win,true,1,,129.90,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
godan,atk_high,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,atk_low,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,atk_mid,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,cmd1,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,cmd2,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,cmd3,true,1,,81.78,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
godan,crouch,true,1,,81.78,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
godan,crouch_atk,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,down,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,getup,true,2,70.42,81.78,median(fallback: idle unreliable),1.1614,
godan,grab_lift,true,2,81.78,81.78,median(fallback: idle unreliable),1.0000,
godan,grab_reach,true,1,,81.78,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
godan,grabbed,true,1,,81.78,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
godan,guard,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,hurt,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,idle,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,ko,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,lunge,true,2,87.90,81.78,median(fallback: idle unreliable),0.9304,
godan,mikiri,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,roar,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,roar_charge,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,sway,true,1,,81.78,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
godan,tele_high,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,tele_low,true,1,,81.78,median(fallback: idle unreliable),1.0000,候補1件のみ(弱)・現状維持
godan,tele_mid,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
godan,ult_charge,false,0,,81.78,median(fallback: idle unreliable),1.0000,検出不能・現状維持
